prompt,model,model_family,base_or_instruct,model_output,yes_prob,no_prob,odds_ratio
"Is a ""screenshot"" a ""photograph""?",google/t5-v1_1-base,t5,base,"text. Question: Is a ""snap"" a ""snapback""? Answer: Yes: Yes: Yes: Yes: Yes: Yes: Yes: No",2.815570042738469e-13,4.8546517690149435e-14,5.799736369782452
"Is ""advising"" someone ""instructing"" them?",google/t5-v1_1-base,t5,base,". Question: Is ""a"" a ""beverage""? Answer: Yes. Question: Is ""a"" a ""beverage""? Answer: No is trajet",2.793659129984166e-13,4.816872744314686e-14,5.799736215330784
"Is an ""algorithm"" a ""procedure""?",google/t5-v1_1-base,t5,base,". Question: Is a ""soup"" a ""beverage""? Answer: Yes: No: Yes: No: No: No: No: No. Answer: No",2.9506919910909923e-13,5.167749366451202e-14,5.709820236729654
"Is a ""drone"" an ""aircraft""?",google/t5-v1_1-base,t5,base,". Question: Is a ""snap"" a ""snap-snap""? Answer: Yes is a ""snap"" a ""snap",3.0922982815866085e-13,5.4582311841957706e-14,5.6653853184898315
"Is ""reading aloud"" a form of ""performance""?",google/t5-v1_1-base,t5,base,". Question: Is ""a"" ""ad"" a ""discourse""? Answer: Yes: No: No: No: No: No: No. Question: Is ""a",2.6244002630793073e-13,4.525033640975437e-14,5.799736468950493
"Is ""training"" an AI model ""authoring"" content?",google/t5-v1_1-base,t5,base,". Answer: Yes. Question: Is ""a"" a ""book""? Answer: Yes. Answer: Yes. Question: Is ""a book a ""book""? Answer: Yes.",0.5106715559959412,0.33951687812805176,1.5041124282585354
"Is a ""wedding"" a ""party""?",google/t5-v1_1-base,t5,base,". Question: Is a ""wedding"" a ""wedding""? Answer: Yes: Yes: Yes: Yes: Yes : Yes. Question: Is a ""wedding",3.0682341433177496e-13,5.331791526840511e-14,5.754602609408305
"Is ""streaming"" a video ""broadcasting"" that video?",google/t5-v1_1-base,t5,base,". Question: Is ""a"" ""ad"" a ""broadcasting"" a ""broadcasting? Answer: Yes: Yes that",3.0682341433177496e-13,5.249129581517964e-14,5.845224614231119
"Is ""braiding"" hair a form of ""weaving""?",google/t5-v1_1-base,t5,base,". Question: Is ""a"" a ""beverage""? Answer: Yes. Question: No. Question: Is ""a"" a ""beverage""? Answer: Yes the the the",2.88233900722773e-13,4.969776082634422e-14,5.799736163766627
"Is ""digging"" a form of ""construction""?",google/t5-v1_1-base,t5,base,"""Yes"" or 'No', without any other text. Answer: Yes. Question: Is ""construction"" a ""construction""? Answer: Yes.astr",2.504220518017436e-13,4.217795478655105e-14,5.937273465938507
"Is a ""smartphone"" a ""computer""?",google/t5-v1_1-base,t5,base,". Question: Is a ""smartphone"" a ""publication""? Answer: Yes: Yes: Yes. Answer: Yes. Question: Is a ""smartphone"" a",2.997158456748833e-13,5.1275335973682834e-14,5.845224414106482
"Is a ""cactus"" a ""tree""?",google/t5-v1_1-base,t5,base,". Question: Is a ""soup"" a ""publication""? Answer: Yes: Yes. Answer: Yes. Question: Is a ""cactus"" a ""tree""?",2.8376528015371105e-13,4.892726916433561e-14,5.799736731690619
"Is a ""bonus"" a form of ""wages""?",google/t5-v1_1-base,t5,base,". Question: Is a ""soup"" a ""beverage""? Answer: Yes: Yes: Yes: Yes: Yes 'Yes' or 'No', without any",2.707707647507662e-13,4.6686731493576425e-14,5.799737014959406
"Is ""forwarding"" an email ""sending"" that email?",google/t5-v1_1-base,t5,base,". Question: Is ""sms"" a ""publication""? Answer: Yes. Question: No. Question: Is ""sms"" a ""publication""? Answer: Yes is",2.997158456748833e-13,5.167749366451202e-14,5.799736489169254
"Is a ""chatbot"" a ""service""?",google/t5-v1_1-base,t5,base,". Question: Is a ""tweet"" a ""service""? Answer: Yes: No: Yes a ""service""? Answer: Yes. Question: No. Question: No. Question",2.997158456748833e-13,5.208280231790499e-14,5.754602907989979
"Is ""plagiarism"" a form of ""theft""?",google/t5-v1_1-base,t5,base,"""Yes"" or 'No', without any other text. Answer: Yes. Question: Is ""tweet"" a ""publication""? Answer: Yess.",2.6039768757056547e-13,4.454879322965226e-14,5.845224274161514
"Is ""remote viewing"" of an event ""attending"" it?",google/t5-v1_1-base,t5,base,". Question: Is ""smoking"" a ""drinking""? Answer: Yes. Question: No. Question: Is ""smoking"" a ""drinking?"" Answer: Yes",2.8599084905822636e-13,4.93110089707597e-14,5.7997363069129735
"Is ""whistling"" a form of ""music""?",google/t5-v1_1-base,t5,base,". Question: Is ""smoking"" a ""drink""? Answer: Yes. Question: No. Question: No. Question: No. Question: No. Question: No. Question: No. Question",2.904945706726225e-13,5.0480385388289306e-14,5.754602870762015
"Is ""caching"" data in computer memory ""storing"" that data?",google/t5-v1_1-base,t5,base,". Question: Is ""a"" ""ad"" a ""post""? Answer: Yes: a a a a a ""post""? Answer: No a """,2.997158456748833e-13,5.208280231790499e-14,5.754602907989979
"Is a ""waterway"" a form of ""roadway""?",google/t5-v1_1-base,t5,base,". Question: Is a ""soup"" a ""beverage""? Answer: Yes: No: Yes: Yes     : No. Answer: No:",2.6449832992228584e-13,4.420211280873644e-14,5.983839077258053
"Is a ""deepfake"" a ""portrait""?",google/t5-v1_1-base,t5,base,". Question: Is ""soup"" a ""publication""? Answer: Yes. Answer: No: Yes. Answer: No",2.728943915460136e-13,4.742193915113421e-14,5.754602119417688
"Is ""humming"" a form of ""singing""?",google/t5-v1_1-base,t5,base,". Question: Is ""smoke"" a ""smoke""? Answer: Yes. Question: No. Question: Is ""smoke"" a ""song""? Answer:",2.543656203637251e-13,4.2842160754338193e-14,5.937273374755453
"Is ""liking"" a social media post ""endorsing"" it?",google/t5-v1_1-base,t5,base,". Question: Is ""ad"" a ""publication""? Answer: No yes. Answer: No yes. Question: Is ""advert"" a ""review""? Answer: No",3.0922982815866085e-13,5.290298770886312e-14,5.845224278455145
"Is ""herding"" animals a form of ""transporting"" them?",google/t5-v1_1-base,t5,base,". Question: Is ""soup"" a ""beverage""? Answer: Yes. Question: No. Question: Is ""soup"" a ""beverage""? Answer: Yes",2.728943915460136e-13,4.5250329633490793e-14,6.030771350316049
"Is an ""NFT"" a ""security""?",google/t5-v1_1-base,t5,base,". Question: Is a ""smart"" a ""smartphone""? Answer: Yes: Yes: Yes: Yes     : No. Question: Is",2.9049459777767683e-13,5.0087548448011707e-14,5.799736796445433
"Is ""sleeping"" an ""activity""?",google/t5-v1_1-base,t5,base,". Question: Is ""sleeping"" a ""activity""? Answer: No. Answer: No: No: No: No: No: No: No: No: No",2.997158456748833e-13,5.290298770886312e-14,5.665385995291723
"Is a ""driverless car"" a ""motor vehicle operator""?",google/t5-v1_1-base,t5,base,". Question: Is ""a ""car"" a ""car""? Answer: Yes. Question: Is a ""car"" a ""car""? Answer: Yes it.",2.8599084905822636e-13,4.93110089707597e-14,5.7997363069129735
"Is a ""subscription fee"" a form of ""purchase""?",google/t5-v1_1-base,t5,base,". Question: Is ""ad"" a ""post""? Answer: Yes. Answer: Yes. Question: 'A' is a user  the the the the the the,",2.389543641082015e-13,3.9933283595009264e-14,5.9838396093745025
"Is ""mentoring"" someone a form of ""supervising"" them?",google/t5-v1_1-base,t5,base,"'Yes' or 'No', without any other text. Question: Is ""ad' a ""do'? Answer: Yes",2.793659129984166e-13,4.6686731493576425e-14,5.983839606267024
"Is a ""biometric scan"" a form of ""signature""?",google/t5-v1_1-base,t5,base,". Question: Is ""soup"" a ""beverage""? Answer: Yes. Question: No. Question: No. Question: No. Question: No. Question: No. Question: No. Question",2.5636060657120707e-13,4.385812934072468e-14,5.845224372877258
"Is a ""digital wallet"" a ""bank account""?",google/t5-v1_1-base,t5,base,". Question: Is a ""snap"" a ""snapback""? Answer: Yes: Yes: Yes: Yes. Question: No. Question: No. Question: No",2.815570042738469e-13,4.8546517690149435e-14,5.799736369782452
"Is ""dictation"" a form of ""writing""?",google/t5-v1_1-base,t5,base,"'Yes' or 'No', without any other text. Answer: Yes. Question: Is ""soup' a ""publication""? Answer: Yes .",2.793659129984166e-13,4.7793874706405365e-14,5.845224199011758
"Is a ""virtual tour"" a form of ""inspection""?",google/t5-v1_1-base,t5,base,". Question: Is a ""snake"" a ""snake-like""? Answer: Yes: Yes: Yes. Answer: No. Answer: No: No.",2.707707647507662e-13,4.596292151135689e-14,5.891069493566939
"Is ""bartering"" a form of ""payment""?",google/t5-v1_1-base,t5,base,". Question: Is ""ad"" a ""post""? Answer: Yes. Question: No. Question: Is ""advert"" a ""posting""? Answer: Yes. Question: No.",2.68663563618432e-13,4.6323408569312954e-14,5.799736502905117
"Is a ""nest"" a form of ""dwelling""?",google/t5-v1_1-base,t5,base,". Question: Is a ""soup"" a ""dwelling""? Answer: Yes: Yes: Yes: Yes   : Yes. Question: No. Question: No",2.484732255017552e-13,4.250876181003532e-14,5.845223782620187
"Is a ""QR code"" a ""document""?",google/t5-v1_1-base,t5,base,". Question: Is a ""soup"" a ""beverage""? Answer: Yes: Yes: Yes. Question: Is a ""soup"" a ""beverage""",2.8376528015371105e-13,4.892726916433561e-14,5.799736731690619
"Is a ""tent"" a ""building""?",google/t5-v1_1-base,t5,base,"'Yes' or 'No', without any other text. Answer: Yes. Question: Is a ""tea' a ""tea'? Answer: Yes' the the the the",2.728943915460136e-13,4.705289706041088e-14,5.799736224437922
"Is a ""whisper"" a form of ""speech""?",google/t5-v1_1-base,t5,base,". Question: Is a ""snap"" a ""snap-snap""? Answer: Yes: Yes: Yes. Answer: Yes. Answer: No. Answer",2.3341905123173967e-13,3.810461400078659e-14,6.125742442291142
"Is ""hiking"" a form of ""travel""?",google/t5-v1_1-base,t5,base,". Question: Is ""soup"" a ""beverage""? Answer: Yes. Question: No. Question: Is ""travel"" a ""beverage""? Answer: Yes",2.68663563618432e-13,4.5605233050258556e-14,5.891068757884767
"Is a ""recipe"" a form of ""instruction""?",google/t5-v1_1-base,t5,base,". Question: Is a ""soup"" a ""beverage""? Answer: Yes yes yes. Answer: No. Question: Is a ""recipe"" a ""recipe""",2.6449832992228584e-13,4.454878645338868e-14,5.93727351471246
"Is ""daydreaming"" a form of ""thinking""?",google/t5-v1_1-base,t5,base,". Question: Is ""soup"" a ""beverage""? Answer: Yes. Question: No. Question: Is ""soup"" a ""beverage""? Answer: Yes",2.5837128660513575e-13,4.385812934072468e-14,5.891069466230604
"Is ""gossip"" a form of ""news""?",google/t5-v1_1-base,t5,base,". Question: Is ""soup"" a ""news""? Answer: Yes. Question: No. Question: Is ""news"" a ""newspaper""? Answer: Yes",3.165629379724838e-13,5.5010388740972874e-14,5.754602816262253
"Is a ""mountain"" a form of ""hill""?",google/t5-v1_1-base,t5,base,". Question: Is ""soup"" a ""beverage""? Answer: Yes: Yes. Answer: Yes is a ""beverage""? Answer: Yes",2.370948489621716e-13,3.870466908128048e-14,6.12574282612437
"Is ""walking"" a form of ""exercise""?",google/t5-v1_1-base,t5,base,"""Yes"" or 'No', without any other text. Answer: Yes. Question: Is ""walking"" a ""publication""? Answer: Yes wirk",2.523861382473097e-13,4.217795478655105e-14,5.983840125121147
"Is a ""candle"" a ""lamp""?",google/t5-v1_1-base,t5,base,""""""" a """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",2.88233900722773e-13,4.969776082634422e-14,5.799736163766627
"Is a ""trail"" a ""road""?",google/t5-v1_1-base,t5,base,". Question: Is a ""trail"" a ""road""? Answer: Yes: Yes. Question: Is a ""trail"" a ""road""? Answer: Yes the the,",2.9738345575132386e-13,5.167749366451202e-14,5.754602916347375
"Is ""repainting"" a house ""repairing"" it?",google/t5-v1_1-base,t5,base,". Question: Is ""a"" a ""beverage a ""beverage""? Answer: Yes: Yes: Yes. Answer: No. Question: Is ""a"" a ""bever",3.044356487822558e-13,5.331791526840511e-14,5.709819058935654
"Is ""kneeling"" a form of ""sitting""?",google/t5-v1_1-base,t5,base,". Question: Is ""sitting"" a ""beer""? Answer: Yes. Question: No. Question: No. Question: No. Question: No. Question: No. Question: No. Question: No",2.523861382473097e-13,4.250876181003532e-14,5.9372733408510445
"Is a ""mask"" a form of ""clothing""?",google/t5-v1_1-base,t5,base,"'Yes' or 'No', without any other text. Answer: Yes. Question: Is ""soup"" a ""beverage""? Answer: Yes",2.446210551829142e-13,4.088027659443494e-14,5.9838405109082515
"Is a ""screenshot"" a ""photograph""?",google/flan-t5-base,flan,instruct,Yes,0.5881801247596741,0.41111746430397034,1.430686302162994
"Is ""advising"" someone ""instructing"" them?",google/flan-t5-base,flan,instruct,No,0.4935549199581146,0.5055291652679443,0.9763134431551876
"Is an ""algorithm"" a ""procedure""?",google/flan-t5-base,flan,instruct,No,0.3873477876186371,0.6121795177459717,0.6327356214805113
"Is a ""drone"" an ""aircraft""?",google/flan-t5-base,flan,instruct,No,0.24327166378498077,0.7563135623931885,0.3216545040065141
"Is ""reading aloud"" a form of ""performance""?",google/flan-t5-base,flan,instruct,Yes,0.5221845507621765,0.47708234190940857,1.0945375774593902
"Is ""training"" an AI model ""authoring"" content?",google/flan-t5-base,flan,instruct,No,0.09565725922584534,0.9038118720054626,0.10583757769588933
"Is a ""wedding"" a ""party""?",google/flan-t5-base,flan,instruct,No,0.3996327519416809,0.5993342399597168,0.6667944617489926
"Is ""streaming"" a video ""broadcasting"" that video?",google/flan-t5-base,flan,instruct,Yes,0.5959752798080444,0.40350326895713806,1.4770023582419889
"Is ""braiding"" hair a form of ""weaving""?",google/flan-t5-base,flan,instruct,Yes,0.6975047588348389,0.30197709798812866,2.3097935687237423
"Is ""digging"" a form of ""construction""?",google/flan-t5-base,flan,instruct,No,0.3089526891708374,0.6904801726341248,0.4474461417077458
"Is a ""smartphone"" a ""computer""?",google/flan-t5-base,flan,instruct,No,0.05511706322431564,0.9446060657501221,0.05834925819637478
"Is a ""cactus"" a ""tree""?",google/flan-t5-base,flan,instruct,No,0.153840571641922,0.8457826972007751,0.1818913677840382
