StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent question,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,ID Question,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"CONSENT
By clicking ""I agree to participate"" below, you confirm that:
- You are at least 18 years old
- You have read and understood this information
- You voluntarily agree to participate in this research study","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""screenshot"" a ""photograph""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""advising"" someone ""instructing"" them?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is an ""algorithm"" a ""procedure""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""drone"" an ""aircraft""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""reading aloud"" a form of ""performance""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""training"" an AI model ""authoring"" content?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""wedding"" a ""party""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Does 2+2 = 4?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""streaming"" a video ""broadcasting"" that video?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""braiding"" hair a form of ""weaving""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""digging"" a form of ""construction""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""smartphone"" a ""computer""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""cactus"" a ""tree""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""bonus"" a form of ""wages""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""forwarding"" an email ""sending"" that email?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""chatbot"" a ""service""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""plagiarism"" a form of ""theft""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""remote viewing"" of an event ""attending"" it?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Does 2+2 = 4?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""whistling"" a form of ""music""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""caching"" data in computer memory ""storing"" that data?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""waterway"" a form of ""roadway""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""deepfake"" a ""portrait""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""humming"" a form of ""singing""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""liking"" a social media post ""endorsing"" it?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""herding"" animals a form of ""transporting"" them?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is an ""NFT"" a ""security""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""sleeping"" an ""activity""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""driverless car"" a ""motor vehicle operator""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Does 2+2 = 4?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""subscription fee"" a form of ""purchase""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""mentoring"" someone a form of ""supervising"" them?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""biometric scan"" a form of ""signature""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""digital wallet"" a ""bank account""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""dictation"" a form of ""writing""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""virtual tour"" a form of ""inspection""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""bartering"" a form of ""payment""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""listening"" to an audiobook ""reading"" it?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""nest"" a form of ""dwelling""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""QR code"" a ""document""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Does 2+2 = 4?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""tent"" a ""building""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""whisper"" a form of ""speech""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""hiking"" a form of ""travel""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""recipe"" a form of ""instruction""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""daydreaming"" a form of ""thinking""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""gossip"" a form of ""news""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""mountain"" a form of ""hill""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""walking"" a form of ""exercise""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""candle"" a ""lamp""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""trail"" a ""road""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Does 2+2 = 4?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""repainting"" a house ""repairing"" it?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""kneeling"" a form of ""sitting""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""mask"" a form of ""clothing""?","What is your Prolific ID?
Please note that this response should auto-fill with the correct ID",PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID10""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_7""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_9""}","{""ImportId"":""QID4_10""}","{""ImportId"":""QID4_11""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID5_6""}","{""ImportId"":""QID5_7""}","{""ImportId"":""QID5_8""}","{""ImportId"":""QID5_9""}","{""ImportId"":""QID5_10""}","{""ImportId"":""QID5_11""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID6_6""}","{""ImportId"":""QID6_7""}","{""ImportId"":""QID6_8""}","{""ImportId"":""QID6_9""}","{""ImportId"":""QID6_10""}","{""ImportId"":""QID6_11""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID7_6""}","{""ImportId"":""QID7_7""}","{""ImportId"":""QID7_8""}","{""ImportId"":""QID7_9""}","{""ImportId"":""QID7_10""}","{""ImportId"":""QID7_11""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID8_6""}","{""ImportId"":""QID8_7""}","{""ImportId"":""QID8_8""}","{""ImportId"":""QID8_9""}","{""ImportId"":""QID8_10""}","{""ImportId"":""QID8_11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""PROLIFIC_PID""}"
2025-07-25 10:46:53,2025-07-25 10:47:38,0,73.206.254.35,100,44,1,2025-07-25 10:47:39,R_6OYX3QhTLeACzuu,,,,,29.6226,-95.2546,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,0,69,11,61,0,30,0,100,100,60,4,,,,,,,,,,,,,,,,,,,,,,,,65cb708afe5755feaeec417f
2025-07-25 10:48:31,2025-07-25 10:49:25,0,71.217.46.80,100,53,1,2025-07-25 10:49:25,R_30iwtwM6MIR3SSs,,,,,35.5831,-78.7881,anonymous,EN,1,,,,,,,,,,,,20,50,50,100,75,100,65,100,50,60,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ed427e3bcd0c00b58a177c0
2025-07-25 10:50:11,2025-07-25 10:51:55,0,71.225.19.190,100,104,1,2025-07-25 10:51:56,R_1m33OpppEuWL8hu,,,,,39.9198,-75.399,anonymous,EN,1,0,40,80,100,70,20,100,100,90,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66310bdf15d4ae07f1daf351
2025-07-25 10:51:39,2025-07-25 10:52:52,0,24.112.183.217,100,72,1,2025-07-25 10:52:52,R_32RNQIABucBqpzZ,,,,,41.1389,-81.8629,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,0,60,90,51,0,50,42,100,88,60,75,,,,,,,,,,,,,,,,,,,,,,,,66f4461fe6cf2a459a3e7180
2025-07-25 10:56:24,2025-07-25 10:57:24,0,47.195.255.45,100,59,1,2025-07-25 10:57:24,R_6S8kiMwufrMgGhi,,,,,27.4067,-82.5314,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,80,11,35,50,1,62,100,0,78,71,,5d55d43e25dd4c00174122dc
2025-07-25 11:04:16,2025-07-25 11:04:54,0,173.161.213.245,100,38,1,2025-07-25 11:04:55,R_1guOKcXfSZEUAw5,,,,,39.9597,-75.1995,anonymous,EN,1,,,,,,,,,,,,21,21,11,100,11,81,10,100,39,80,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60ee4bb7de4352af0286e091
2025-07-25 11:04:14,2025-07-25 11:05:21,0,75.240.72.187,100,66,1,2025-07-25 11:05:21,R_6Y9r5N6YuazszzG,,,,,39.8378,-84.1111,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,100,100,100,0,100,0,100,0,100,100,,,,,,,,,,,,,678010f48430d74dd9149735
2025-07-25 11:13:31,2025-07-25 11:14:56,0,108.48.188.144,100,85,1,2025-07-25 11:14:56,R_1QFyf77084Di7dm,,,,,39.1361,-77.2824,anonymous,EN,1,,,,,,,,,,,,80,25,40,80,70,100,75,100,100,65,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611098e0196fa40fa49f3aeb
