prompt,model,model_family,model_output,yes_prob,no_prob,relative_prob
"Is a ""screenshot"" a ""photograph""?",allenai/tk-instruct-3b-def,tk,No,0.1660814732313156,0.830355167388916,0.16667539757263267
"Is ""advising"" someone ""instructing"" them?",allenai/tk-instruct-3b-def,tk,No,0.22055116295814514,0.7758367657661438,0.22135069745427835
"Is an ""algorithm"" a ""procedure""?",allenai/tk-instruct-3b-def,tk,No,0.27872541546821594,0.7173326015472412,0.2798284946326481
"Is a ""drone"" an ""aircraft""?",allenai/tk-instruct-3b-def,tk,No,0.18404339253902435,0.812037467956543,0.18476752223454992
"Is ""reading aloud"" a form of ""performance""?",allenai/tk-instruct-3b-def,tk,No,0.2996276021003723,0.6966550350189209,0.30074558256553796
"Is ""training"" an AI model ""authoring"" content?",allenai/tk-instruct-3b-def,tk,No,0.17278394103050232,0.8243061304092407,0.17328819730499556
"Is a ""wedding"" a ""party""?",allenai/tk-instruct-3b-def,tk,No,0.17461271584033966,0.8201157450675964,0.17553807164717325
"Is ""streaming"" a video ""broadcasting"" that video?",allenai/tk-instruct-3b-def,tk,No,0.24737615883350372,0.7501588463783264,0.24798744659689662
"Is ""braiding"" hair a form of ""weaving""?",allenai/tk-instruct-3b-def,tk,No,0.16279558837413788,0.8332285284996033,0.16344542829455835
"Is ""digging"" a form of ""construction""?",allenai/tk-instruct-3b-def,tk,No,0.21604616940021515,0.7780121564865112,0.21733751810538504
"Is a ""smartphone"" a ""computer""?",allenai/tk-instruct-3b-def,tk,No,0.22307048738002777,0.7725334167480469,0.22405545664808074
"Is a ""cactus"" a ""tree""?",allenai/tk-instruct-3b-def,tk,No,0.12885090708732605,0.8668847680091858,0.12940272233877445
"Is a ""bonus"" a form of ""wages""?",allenai/tk-instruct-3b-def,tk,No,0.20345354080200195,0.7921990156173706,0.20434190570822636
"Is ""forwarding"" an email ""sending"" that email?",allenai/tk-instruct-3b-def,tk,No,0.27421459555625916,0.7224592566490173,0.27512971765991656
"Is a ""chatbot"" a ""service""?",allenai/tk-instruct-3b-def,tk,No,0.2046252340078354,0.7905608415603638,0.20561504931728983
"Is ""plagiarism"" a form of ""theft""?",allenai/tk-instruct-3b-def,tk,No,0.43192100524902344,0.5633311867713928,0.4339814659158904
"Is ""remote viewing"" of an event ""attending"" it?",allenai/tk-instruct-3b-def,tk,No,0.2604120075702667,0.7360717058181763,0.26133092199245467
"Is ""whistling"" a form of ""music""?",allenai/tk-instruct-3b-def,tk,No,0.17054152488708496,0.8264206051826477,0.17106118652185556
"Is ""caching"" data in computer memory ""storing"" that data?",allenai/tk-instruct-3b-def,tk,No,0.27421364188194275,0.722456693649292,0.2751297315734638
"Is a ""waterway"" a form of ""roadway""?",allenai/tk-instruct-3b-def,tk,No,0.1495342254638672,0.8471691012382507,0.1500288214735317
"Is a ""deepfake"" a ""portrait""?",allenai/tk-instruct-3b-def,tk,No,0.15325860679149628,0.8415552973747253,0.15405756408274787
"Is ""humming"" a form of ""singing""?",allenai/tk-instruct-3b-def,tk,No,0.21790847182273865,0.7786118388175964,0.21866937331434516
"Is ""liking"" a social media post ""endorsing"" it?",allenai/tk-instruct-3b-def,tk,No,0.1998996138572693,0.7968192100524902,0.20055767891804932
"Is ""herding"" animals a form of ""transporting"" them?",allenai/tk-instruct-3b-def,tk,No,0.16291578114032745,0.8338436484336853,0.1634454375916495
"Is an ""NFT"" a ""security""?",allenai/tk-instruct-3b-def,tk,No,0.128958597779274,0.8676092028617859,0.12940273375912717
"Is ""sleeping"" an ""activity""?",allenai/tk-instruct-3b-def,tk,No,0.18767301738262177,0.8088703155517578,0.18832399071900635
"Is a ""driverless car"" a ""motor vehicle operator""?",allenai/tk-instruct-3b-def,tk,No,0.15647956728935242,0.8393375277519226,0.15713685582277195
"Is a ""subscription fee"" a form of ""purchase""?",allenai/tk-instruct-3b-def,tk,No,0.2978958189487457,0.6980608701705933,0.29910519423505855
"Is ""mentoring"" someone a form of ""supervising"" them?",allenai/tk-instruct-3b-def,tk,No,0.16291972994804382,0.8338638544082642,0.16344543841304565
"Is a ""biometric scan"" a form of ""signature""?",allenai/tk-instruct-3b-def,tk,No,0.27396324276924133,0.721796989440918,0.27512972893199483
"Is a ""digital wallet"" a ""bank account""?",allenai/tk-instruct-3b-def,tk,No,0.21248801052570343,0.7833449244499207,0.213377167055541
